price,pType,pWidth,pLength,pArea,pLandArea,pNumberOfFloors,pNumberOfBathrooms,pNumberOfBedrooms,pCertificateType,pFurnitureStatus,log_price,district
7600000000.0,other,4.0,17.78,77.8,56.0,2.0,1.0,3.0,certificate,other,22.751414084238696,Quận 8
10700000000.0,other,3.5,11.2,56.1,38.8,5.0,4.0,4.0,certificate,other,23.09350957841427,Quận 5
4950000000.0,other,5.73,10.15,86.6,48.9,2.0,2.0,3.0,certificate,other,22.32265341352701,Quận Gò Vấp
4260000000.0,other,3.27,9.05,56.5,29.7,2.0,2.0,2.0,certificate,other,22.17253499722769,Quận Gò Vấp
7000000000.0,other,3.0,12.6,77.72,19.8,4.0,5.0,7.0,certificate,other,22.669175986001726,Quận 1
4850000000.0,other,4.95,5.6,27.9,27.9,3.0,3.0,3.0,certificate,other,22.302244541895803,Quận Tân Phú
4890000000.0,other,2.7,6.57,67.1,20.0,4.0,3.0,3.0,certificate,other,22.31045814043319,Quận 3
6000000000.0,other,9.63,8.9,113.9,62.1,3.0,3.0,4.0,certificate,other,22.515025306174465,Quận 8
5600000000.0,other,3.98,14.24,94.9,54.5,2.0,2.0,2.0,certificate,partially_furnished,22.446032434687513,Quận Bình Tân
5500000000.0,other,5.0,13.87,175.2,71.9,3.0,4.0,4.0,certificate,other,22.428013929184836,Quận 12
4200000000.0,other,4.0,10.6,56.4,42.2,2.0,1.0,2.0,certificate,other,22.158350362235733,Quận Tân Phú
3150000000.0,other,2.5,5.21,10.3,10.3,4.0,3.0,2.0,certificate,other,21.870668289783953,Quận 3
6800000000.0,other,3.75,15.75,135.1,59.2,3.0,3.0,4.0,certificate,other,22.640188449128473,Quận Tân Bình
6700000000.0,other,3.7,10.2,89.2,30.1,4.0,2.0,2.0,certificate,other,22.625373363343332,Quận 10
12860000000.0,other,4.0,14.5,213.24,58.2,5.0,4.0,5.0,certificate,other,23.277387555755883,Quận Phú Nhuận
8500000000.0,other,4.0,21.0,92.0,84.0,2.0,2.0,2.0,certificate,partially_furnished,22.863332000442682,Quận Bình Tân
6950000000.0,other,3.05,13.36,102.1,41.6,4.0,5.0,5.0,certificate,other,22.662007496523113,Quận Gò Vấp
3350000000.0,other,4.0,8.0,47.2,32.0,2.0,2.0,2.0,certificate,other,21.932226182783385,Quận Bình Tân
17800000000.0,other,6.15,14.81,292.1,77.3,6.0,15.0,15.0,certificate,other,23.602464294244452,Quận Bình Thạnh
6600000000.0,other,3.25,5.0,27.9,27.9,3.0,3.0,4.0,certificate,other,22.61033548597879,Quận Phú Nhuận
4850000000.0,other,3.91,11.08,78.8,43.7,2.0,2.0,2.0,certificate,other,22.302244541895803,Quận Bình Tân
3880000000.0,other,4.6,4.72,65.1,22.0,3.0,3.0,2.0,certificate,other,22.079100990581594,Quận Tân Bình
7000000000.0,other,2.72,13.41,79.5,29.4,3.0,3.0,3.0,certificate,other,22.669175986001726,Quận 10
11600000000.0,other,4.0,30.0,120.0,120.0,4.0,10.0,10.0,certificate,other,23.17427093505873,Quận Tân Phú
7100000000.0,other,5.0,15.0,225.63,75.0,4.0,5.0,5.0,certificate,other,22.683360620993682,Quận Bình Tân
6000000000.0,other,2.55,9.35,43.5,24.3,2.0,2.0,2.0,certificate,other,22.515025306174465,Quận Phú Nhuận
4680000000.0,other,5.42,5.4,24.8,24.8,2.0,2.0,2.0,certificate,other,22.266563946875966,Quận Bình Thạnh
13000000000.0,other,4.1,18.1,112.5,91.1,2.0,2.0,2.0,certificate,other,23.288215194407947,Quận Bình Thạnh
7400000000.0,other,4.0,15.74,186.3,63.6,4.0,5.0,5.0,certificate,other,22.724745837156537,Quận Bình Tân
29600000000.0,other,3.55,35.15,291.27,118.63,3.0,4.0,3.0,certificate,other,24.111040198276427,Quận Gò Vấp
10200000000.0,other,18.31,4.2,259.5,74.2,5.0,7.0,6.0,certificate,other,23.045653557236637,Quận 6
