index,address_original,address,price,type,pType,pWidth,pLength,pArea,pLandArea,pNumberOfFloors,pNumberOfBathrooms,pNumberOfBedrooms,pCertificateType,pFurnitureStatus,description,_createdAt
1,"3/16B Chánh Hưng, 4, 8, Hồ Chí Minh","3/16B Chánh Hưng, Phường 4, Quận 8, Thành phố Hồ Chí Minh",7600000000,sale,other,4,17.78,77.8,56,2,1,3,certificate,other,"Bán nhà hẻm xe hơi vô 3/26 Tạ Quang Bửu P4, Q8. TPHCM Nhà vị trí đẹp sau căn mặt tiền Phạm Hùng, hẻm rộng tiện buôn bán, k doanh, xây căn hộ, cách T Q Bửu chỉ 20m, khu dân cư đông bước ra là chợ, trường cấp 1,2,3, Đại học Công nghệ Sài Gòn, Siêu thị, Aeon mall, ngân hàng, xe máy Quang Phương. Thuận tiện cho gia đình ở đông, xây mới, cho thuê 10 triệu, đi lại các quận rất tiện, xe hơi 7c tới nhà. diện tích 4x17m, gác suốt, 3 PN, Hướng Đông Bắc Sổ hồng riêng. Giá: 7ty6 bớt chút.",2025-10-24T09:03:23.453Z
2,"61/65 Đường Hùng Vương, 4, 5, Hồ Chí Minh","61/65 Đường Hùng Vương, Phường 4, Quận 5, Thành phố Hồ Chí Minh",10700000000,sale,other,3.5,11.2,56.1,38.8,5,4,4,certificate,other,"Bán nhà đẹp chính chủ xây thiết kế full nội thất gỗ cao cấp Vi trí Đường Hùng Vương Q5 HCM Dt 3.5 x 11m (38.8m2). DTSD: 156m2 Kết cấu: 1 trệt, lửng, 2 lầu, sân thượng. Nhà xây đẹp cứng cáp thiết kế không gian mở lấy sáng tự nhiên .. SHR hoàn công chuẩn chỉnh Hỗ trợ vay bank Giá bán 10.7ty bớt lộc",2025-10-24T08:51:20.780Z
3,"77/48/1 Đường Lê Hoàng Phái, 17, Gò Vấp, Hồ Chí Minh","77/48/1 Đường Lê Hoàng Phái, Phường 17, Gò Vấp, Thành phố Hồ Chí Minh",4950000000,sale,other,5.73,10.15,86.6,48.9,2,2,3,certificate,other,"Lên sóng căn Villa mini tâm huyết, toạ lạc tại 77/48/1 Lê Hoàng Phái P17 Gò Vấp - Ngang 5.7x10 sổ hồng riêng, hoàn công trệt lầu đúc BTCT, hoàn công nhà cấp 3, sổ hồng công nhận 48.9m2 không lộ giới. Khu dân cư - Nhà thiết kế 3 Phòng Ngủ, 2WC, phòng giặt, nhà để xe thiết kế riêng biệt với phòng khách phù hợp diện tích căn nhà - Nhà được trang bị sẵn nội thất cao cấp tiện gia đình vô ở luôn - Giá chỉ 4ty950 có bớt cho khách thiện chí",2025-10-24T08:34:54.986Z
4,"440/13/302 Thống Nhất , 16, Gò Vấp, Hồ Chí Minh","440/13/302 Thống Nhất, Phường 16, Gò Vấp, Thành phố Hồ Chí Minh",4260000000,sale,other,3.27,9.05,56.5,29.7,2,2,2,certificate,other,"Vị Trí : 404/13/302 Thống Nhất . P16. Gò Vấp Hướng : Đông Nam Diện tích : 3.5m x 9m, 1 trệt 1 lầu . 2 Phòng ngủ . 2 Tolet Pháp lý : Sổ hồng riêng Nội thất bàn giao : Full option Giá : 4.260 Tỷ TL ít",2025-10-24T08:13:03.977Z
5,"18A/111/14 Đường Nguyễn Thị Minh Khai, Đa Kao, 1, Hồ Chí Minh","18A/111/14 Đường Nguyễn Thị Minh Khai, Đa Kao, Quận 1, Thành phố Hồ Chí Minh",7000000000,sale,other,3,12.6,77.72,19.8,4,5,7,certificate,other,"NHÀ BÁN NGAY TRUNG TÂM Q1 SẦM UẤT Nhà 18A/111/14 đường Nguyễn Thị Minh Khai, phường Đakao quận 1. - Diện tích 3x12.6 .. Đang có sẵn 7 phòng cho thuê, - Xây full 3,5 tấm. ( Có sẵn thu nhập 28tr/tháng) - Nhà hướng đông Bắc. Giá 7 tỷ. Vị trí ngay trung tâm Quận 1 sầm uất - Gần Đài Truyền Hình TP HCM - Gần Đại Sứ Quán Mỹ",2025-10-24T07:08:29.123Z
6,"118/52 Đường Huỳnh Thiện Lộc, Hòa Thạnh, Tân Phú, Hồ Chí Minh","118/52 Đường Huỳnh Thiện Lộc, Hòa Thạnh, Tân Phú, Thành phố Hồ Chí Minh",4850000000,sale,other,4.95,5.6,0,27.9,3,3,3,certificate,other,"Bán nhà 118/52 Huỳnh Thiện Lộc, phường Hòa Thạnh, Tân Phú - Diện tích: 27.9 m2 (4.95 x 5.6 - nở hậu 5.05m) - Kết cấu: trệt 2 lầu ( tầng 2+3 không công nhận) - Nhà gần chợ, trường học, siêu thị,..... - Giá bán 4.85 Tỷ",2025-10-24T06:42:07.762Z
7,"436/59/72 Cách Mạng Tháng Tám, 11, 3, Hồ Chí Minh","436/59/72 Cách Mạng Tháng Tám, Phường 11, Quận 3, Thành phố Hồ Chí Minh",4890000000,sale,other,2.7,6.57,67.1,20,4,3,3,certificate,other,"436/59/72 CMT8 -P.Nhiêu Lộc-Q3 DT: 2.7 x 6.57m ( nở hậu 3.05) -CN :20m2 -HoànCông Đủ Trệt - 2 Lầu - Sân thượng BTCT. 3 Phòng Ngủ - 3 WC Tặng lại Full nội thất như hình. Vị trí trung tâm thuận tiện di chuyển Q1, Q10,Q.Phú Nhuận , Sân bay TSN , gần chợ Hòa Hưng , Công Viên Lê Thị Riêng ( Thỏ Trắng ) , bờ kè Hoàng Sa , siêu thị Coop.",2025-10-24T06:40:42.348Z
8,"2A Lý Đạo Thành, 16, 8, Hồ Chí Minh","2A Lý Đạo Thành, Phường 16, Quận 8, Thành phố Hồ Chí Minh",6000000000,sale,other,9.63,8.9,113.9,62.1,3,3,4,certificate,other,"NHÀ MẶT TIỀN CĂN GÓC 2 MẶT TIỀN 2A LÝ ĐẠO THÀNH P. Phú Định Q8 cũ Diện tích: 62.1m2 Kết cấu: 1 trệt 2 lầu đúc thật, bancong rộng rãi, 4Pn 3 Wc Căn góc tiện kinh doanh - đường lớn, giáp Võ Văn Kiệt, Bình Phú Q6... Giá bán: 6 tỷ TL",2025-10-24T06:15:31.581Z
9,"31/7 Hoàng Văn Hợp, An Lạc A, Bình Tân, Hồ Chí Minh","31/7 Hoàng Văn Hợp, An Lạc A, Bình Tân, Thành phố Hồ Chí Minh",5600000000,sale,other,3.98,14.24,94.9,54.5,2,2,2,certificate,partially_furnished,"Bán nhà hẻm 31/7 Hoàng Văn Hợp, P.An Lạc A, Q.Bình Tân + Diện tích: 54.5m2 + Kết cấu 1 trệt 1 lầu + Hẻm rộng, nhà cũ tiện sửa hoặc xây mới + Cuộc sống đầy đủ tiện nghi với các chợ, siêu thị gần đó, dễ dàng mua sắm mọi thứ + Gần trường mầm non, bệnh viện quốc tế và các siêu thị Bách Hóa Xanh, đảm bảo cuộc sống tiện lợi nhất cho gia đình. Gía bán: 5.6 tỷ TL",2025-10-24T05:27:47.477Z
10,"59/34A Đường Trương Đăng Quế, 3, Gò Vấp, Hồ Chí Minh","59/34A Đường Trương Đăng Quế, Phường 3, Gò Vấp, Thành phố Hồ Chí Minh",8.300.000.000.000.000,sale,other,3.35,11.95,0,29,4,5,3,certificate,other,"Bán Nhà 59/34A Đường trương đăng quế, P3. Q.GVap DT:3,3m x11.95m ,1trệt, 3lầu, gồm 1Phòng Khách, 3pn, 5WC. ( Đang Làm Hoàn Công) Nội thất đầy đủ. Vị trí ngay chung cư Âu chan, phạm văn đồng, giáp Phú nhuận, bình thạnh, đi sân bay Tân Sơn nhất 5phút, tiện đi bộ tập thể dục công viên gia định rất tiện lợi. Giá 8ty3 thương lượng",2025-10-24T04:38:10.623Z
11,"677/3 Đường Nguyễn Ảnh Thủ, Hiệp Thành, 12, Hồ Chí Minh","677/3 Đường Nguyễn Ảnh Thủ, Hiệp Thành, Quận 12, Thành phố Hồ Chí Minh",5500000000,sale,other,5,13.87,175.2,71.9,3,4,4,certificate,other,"Nhà : 677/3, Nguyễn Ảnh Thủ, Phường Tân Thới Hiệp, Quận 12, Tp Hồ Chí Minh DT: 5m x 13.8m (71.9m2), 1 trệt 2 lầu 4pn 4wc. Hướng Tây Nam Sổ Hồng Riêng, Gần ngã tư Nước Đá, trường học, chợ, đang kinh doanh quán ăn vặt. Báo trước 1-2 tiếng khi xem nhà, sổ riêng Giá: 5,5 tỷ",2025-10-24T04:14:34.413Z
12,"23/80/20 Nguyễn Hữu Tiến, Tây Thạnh, Tân Phú, Hồ Chí Minh","23/80/20 Nguyễn Hữu Tiến, Tây Thạnh, Tân Phú, Thành phố Hồ Chí Minh",4200000000,sale,other,4,10.6,56.4,42.2,2,1,2,certificate,other,"Bán nhà 23/80/20 Nguyễn Hữu Tiến, Tây Thạnh, Tân Phú. Diện tích 4x11m = 42.2, Gồm phòng khách, 2 phòng ngủ, gác lửng sàn gỗ rộng, thoáng mát, an ninh. Hàng xóm thân thiện, tình cảm và đoàn kết. Hẻm Beton 3,5m, cách đường nhựa lớn 30m. Gần trung tâm thương mại, siêu thị Aeon Tân Phú, Coop Mart Thắng Lợi, Bic C (500m), trung tâm thể thao, hồ bơi, nhà thiếu nhi Quận Tân Phú (300m), UBND phường Tây Thạnh, Trường Đại Học Công Nghiệp, Trường cấp I, II",2025-10-24T04:02:50.503Z
13,"108/60/1 Trần Quang Diệu, 14, 3, Hồ Chí Minh","108/60/1 Trần Quang Diệu, Phường 14, Quận 3, Thành phố Hồ Chí Minh",3150000000,sale,other,2.5,5.21,0,10.3,4,3,2,certificate,other,"HÀNG MỚI KEN - Trần Quang Diệu P14,Q3. THÔNG RA TRƯỜNG SA. K/c : 4 tầng gồm 1 trệt 2 lầu,sân thượng, 2 phòng ngủ,3 wc,full nội thất 2 máy lạnh, máy giặt,máy năng lượng mặt trời,nhà nhỏ nhưng có vỏ, nhà mới vị trí gẩn bờ kè, hẻm rộng thoáng.. vào hẻm 704/17 Trường Sa, tiệm giày Đôn). Giá : 3,150 tỷ tl",2025-10-24T03:51:27.051Z
14,"250/21/1A Đường Bàu Cát, 11, Tân Bình, Hồ Chí Minh","250/21/1A Đường Bàu Cát, Phường 11, Tân Bình, Thành phố Hồ Chí Minh",6800000000,sale,other,3.75,15.75,135.1,59.2,3,3,4,certificate,other,"Vị trí khu VIP Bàu Cát dân trí cao, đầy đủ tiện ích Địa chỉ: 250/21/1A Bàu Cát, P11 Tân Bình DT: 3.75m x 15.75m. KC: Trệt 2 lầu (4pn 3wc) Giá: 6tỷ800tr",2025-10-24T03:32:09.975Z
15,"382/22 (1phần) Đường Sư Vạn Hạnh, 2, 10, Hồ Chí Minh","382/22 (1phần) Đường Sư Vạn Hạnh, Phường 2, Quận 10, Thành phố Hồ Chí Minh",6700000000,sale,other,3.7,10.2,89.2,30.1,4,2,2,certificate,other,"Bán gấp nhà hẻm 2 xe hơi tránh nhau 382/22 Sư Vạn Hạnh P2 Q10 DT: 3.7x10m Trệt + 2 lầu + ST, nhà mới đẹp, tiện ở hoặc KD. Xung quoanh đầy đủ tiện ích, thuận tiện đi lại các khu vực xung quoanh..... Giá bán 6.7 tỷ TL",2025-10-24T03:21:13.903Z
